date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:12:51	94412/94412	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Apr%202016%2008:25:37%20GMT	https://sophiekerboul.com/wp-content/themes/customizr/inc/assets/js/tc-scripts.min.js?ver=3.4.20	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/themes/customizr/inc/assets/js/tc-scripts.mindd6f.js	(from https://sophiekerboul.com/)
15:12:52	847/847	---MCZ	200	added ('OK')	text/xml	date:Sun,%2023%20Oct%202022%2013:12:52%20GMT	https://sophiekerboul.com/xmlrpc.php?rsd	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/xmlrpc0db0.php	(from https://sophiekerboul.com/)
15:12:52	1045/1045	---M--	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	https://sophiekerboul.com/wp-includes/wlwmanifest.xml	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-includes/wlwmanifest.xml	(from https://sophiekerboul.com/)
15:12:52	1055/1055	---MC-	200	added ('OK')	application/json	date:Sun,%2023%20Oct%202022%2013:12:52%20GMT	https://sophiekerboul.com/?rest_route=/	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/index52f0.html	(from https://sophiekerboul.com/)
15:12:52	23966/23966	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Mar%202016%2011:14:05%20GMT	https://sophiekerboul.com/wp-content/uploads/2016/03/Fotolia_93253345_XS-270x250.jpg	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/uploads/2016/03/Fotolia_93253345_XS-270x250.jpg	(from https://sophiekerboul.com/)
15:12:52	17786/17786	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Mar%202016%2011:13:08%20GMT	https://sophiekerboul.com/wp-content/uploads/2016/03/Fotolia_90796258_XS-270x250.jpg	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/uploads/2016/03/Fotolia_90796258_XS-270x250.jpg	(from https://sophiekerboul.com/)
15:12:52	55838/55838	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Apr%202016%2009:53:43%20GMT	https://sophiekerboul.com/wp-content/uploads/2016/04/Fotolia_86367758_XS.jpg	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/uploads/2016/04/Fotolia_86367758_XS.jpg	(from https://sophiekerboul.com/)
15:12:53	15248/15248	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2015%20Aug%202016%2014:08:52%20GMT	https://sophiekerboul.com/wp-content/plugins/contact-form-7/includes/js/jquery.form.min.js?ver=3.51.0-2014.06.20	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/plugins/contact-form-7/includes/js/jquery.form.mind03d.js	(from https://sophiekerboul.com/)
15:12:53	12244/12244	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2015%20Aug%202016%2014:08:52%20GMT	https://sophiekerboul.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=4.5	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/plugins/contact-form-7/includes/js/scripts11b8.js	(from https://sophiekerboul.com/)
15:12:53	3929/3929	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2013%20May%202021%2002:48:48%20GMT	https://sophiekerboul.com/wp-includes/js/jquery/ui/core.min.js?ver=1.11.4	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-includes/js/jquery/ui/core.mine899.js	(from https://sophiekerboul.com/)
15:12:53	25669/25669	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2013:12:53%20GMT	https://sophiekerboul.com/?page_id=5	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/index48a6.html	(from https://sophiekerboul.com/)
15:12:53	15246/15246	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Apr%202016%2008:25:37%20GMT	https://sophiekerboul.com/wp-content/themes/customizr/inc/assets/js/modernizr.min.js?ver=3.4.20	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-content/themes/customizr/inc/assets/js/modernizr.mindd6f.js	(from https://sophiekerboul.com/)
15:12:54	1384/1384	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2013%20May%202021%2002:48:48%20GMT	https://sophiekerboul.com/wp-includes/js/wp-embed.min.js?ver=4.5.28	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/wp-includes/js/wp-embed.minf9f9.js	(from https://sophiekerboul.com/)
15:12:54	24523/24523	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Oct%202022%2013:12:54%20GMT	https://sophiekerboul.com/?page_id=2	C:/Users/ogolle/Documents/perso/SitesWeb/LetitiaSissoko/sophiekerboul.com/indexba53.html	(from https://sophiekerboul.com/)
